,8,9,10,11
90,22,22,21,23
89,21,,20,
88,,,,22
87,20,21,,
86,,,19,21
85,,20,,
84,19,,18,
83,,,,20
82,18,19,,
81,,,17,19
80,,18,,
79,17,,,18
78,,17,16,
77,16,,,
76,,,,17
75,15,16,15,
74,,,,16
73,,15,14,
72,14,,,15
71,,,,
70,13,14,13,
69,,,,14
68,,13,,
67,12,,12,13
66,,,,
65,11,12,11,12
64,,,,
63,,11,,
62,10,,10,11
61,,,,
60,9,10,,10
59,,,9,
58,,9,,9
57,8,,8,
56,,,,
55,7,8,,8
54,,,7,
53,,7,,7
52,6,,,
51,,6,6,6
50,5,,,
49,,,5,
48,4,5,,5
47,,,,
46,,4,4,4
45,3,,,
44,,,,3
43,2,3,3,
42,,,,
41,,2,,2
40,1,1,2,1
