,8,9,10,11
90,21,21,21,24
89,,20,20,23
88,20,,,
87,,,19,22
86,19,19,,
85,,,,21
84,,18,18,
83,18,,,20
82,,,17,
81,17,17,,
80,,,,19
79,16,16,16,
78,,,,18
77,,,15,
76,15,15,,17
75,,,,
74,14,14,14,16
73,,,,
72,,,13,15
71,13,13,,
70,,,,14
69,12,12,12,
68,,,,13
67,11,,11,
66,,11,,12
65,,,,
64,10,10,10,
63,,,,11
62,9,,9,
61,,9,,10
60,,,,
59,8,8,8,9
58,,,,
57,7,,7,8
56,,7,,
55,,,6,7
54,6,6,,
53,,,,6
52,5,,5,
51,,5,,5
50,4,,4,
49,,4,,4
48,,,,
47,3,,3,3
46,,3,,
45,2,,2,
44,,2,,2
43,,,,
42,1,,1,1
41,,1,,
40,0,0,0,0
