,8,9,10,11
90,26,26,,27
89,,,27,26
88,25,25,,
87,,,26,25
86,24,24,,
85,,,25,24
84,23,23,,
83,,,24,
82,22,22,,23
81,,,23,
80,21,21,,22
79,,,22,
78,,20,,21
77,20,,21,
76,,,,20
75,19,19,20,
74,,,,19
73,18,18,19,
72,,,,
71,17,17,18,18
70,,,,
69,16,16,17,17
68,,,,
67,15,15,16,16
66,,,,
65,14,14,15,15
64,,,,
63,13,13,14,14
62,,,,
61,12,,13,
60,,12,,13
59,11,,12,
58,,11,,12
57,10,,11,
56,,10,,11
55,9,,10,
54,,9,,10
53,8,,9,
52,,8,,9
51,7,,8,
50,,7,,
49,,,7,8
48,6,6,,
47,,,6,7
46,5,,,
45,,5,5,6
44,4,,,
43,,4,4,5
42,3,,,
41,,3,3,4
40,2,2,2,3
