,8,9,10,11
90,34,35,30,26
89,,34,29,25
88,33,,,
87,32,33,28,24
86,,32,,
85,31,,27,23
84,30,31,26,
83,,30,,22
82,29,,25,
81,28,29,,21
80,,28,24,
79,27,,23,20
78,26,27,,
77,,26,22,19
76,25,,,
75,24,25,21,18
74,,24,20,
73,23,,,17
72,22,23,19,
71,,22,,16
70,21,,18,
69,20,21,,15
68,,20,17,
67,19,,16,14
66,18,19,,
65,,18,15,13
64,17,17,,
63,16,,14,12
62,,16,13,
61,15,15,,11
60,14,,12,
59,,14,,10
58,13,13,11,
57,12,,10,9
56,,12,,
55,11,11,9,8
54,10,,,
53,,10,8,7
52,9,9,7,
51,8,,,6
50,7,8,6,
49,,7,,5
48,6,,5,
47,5,6,,4
46,,5,4,
45,4,,3,3
44,3,4,,
43,,3,2,2
42,2,,,
41,1,2,1,1
40,0,1,0,0
