,8,9,10,11
90,26,23,27,27
89,,,26,26
88,25,,,
87,,22,25,25
86,24,,,
85,,21,24,24
84,23,,,
83,,,23,23
82,22,20,,
81,,,22,22
80,21,19,,
79,,,21,21
78,20,18,,
77,,,20,20
76,19,,,
75,,17,19,19
74,18,,,
73,,16,18,18
72,17,,,
71,,15,17,17
70,16,,,
69,,,16,16
68,15,14,,
67,,,15,15
66,14,13,,
65,,,14,14
64,13,12,,
63,,,13,13
62,12,,,
61,,11,12,12
60,11,,,
59,,10,11,11
58,10,,,
57,,,10,10
56,9,9,,
55,,,9,9
54,8,8,,
53,,,8,8
52,7,7,,
51,,,7,7
50,6,,,
49,,6,6,
48,5,,,6
47,,5,5,
46,4,,,5
45,,4,4,
44,3,,,4
43,,,3,
42,,3,,3
41,2,,2,
40,1,2,1,2
