,8,9,10,11
90,22,22,21,22
89,21,21,20,
88,,,,21
87,,20,,
86,20,,19,20
85,,19,,
84,19,,18,19
83,,,,
82,18,18,17,
81,,,,18
80,,17,,
79,17,,16,17
78,,16,,
77,16,,15,16
76,,,,
75,15,15,,
74,,,14,15
73,,14,,
72,14,,13,14
71,,13,,
70,13,,,13
69,,,12,
68,12,12,,
67,,,11,12
66,,11,,
65,11,,,11
64,,10,10,
63,10,,,10
62,,,9,
61,,9,,
60,9,,8,9
59,,8,,
58,8,,,8
57,,7,7,
56,7,,,7
55,,,6,
54,,6,,6
53,6,,,
52,,5,5,
51,5,,,5
50,,,4,
49,4,4,,4
48,,,,
47,,3,3,3
46,3,,,
45,,2,2,
44,2,,,2
43,,,,
42,1,1,1,1
41,,,,
40,0,0,0,0
