question number,response 1,response 2,response 3,response 4,attribute 1,attribute 2,attribute 3
1,0,1,2,3,HY,AH,
2,0,1,2,3,HY,,
3,0,1,2,3,IN,,
4,0,1,2,3,HY,AH,
5,0,0,1,1,NI,,
6,0,1,2,3,LE,EF,
7,0,1,2,3,HY,GI,AH
8,0,1,2,3,AG,,
9,0,1,2,3,HY,AH,
10,0,1,2,3,AG,CD,
11,0,1,2,3,LE,EF,
12,0,1,2,3,LE,LP,
13,0,1,2,3,HY,GI,
14,0,1,2,3,CD,,
15,0,0,0,1,PI,,
16,0,1,2,3,LE,EF,
17,0,1,2,3,HY,AH,
18,0,1,2,3,LE,,
19,0,1,2,3,PR,,
20,0,1,2,3,LE,EF,
21,0,1,2,3,CD,,
22,0,1,2,3,GI,,
23,0,1,2,3,AN,,
24,0,1,2,3,HY,AH,
25,0,1,2,3,LE,EF,GI
26,0,1,2,3,HY,,
27,0,1,2,3,CD,,
28,0,0,0,1,PI,,
29,0,1,2,3,HY,AH,
30,1,0,0,0,PI,,
31,0,1,2,3,CD,,
32,0,1,2,3,HY,AH,
33,0,1,2,3,CD,,
34,0,1,2,3,PR,,
35,0,1,2,3,AG,CD,
36,1,0,0,0,PI,,
37,0,1,2,3,IN,AN,
38,0,1,2,3,AG,OD,
39,0,1,2,3,HY,,
40,0,1,2,3,AG,CD,
41,0,1,2,3,IN,,
42,0,1,2,3,PR,,
43,0,1,2,3,AG,,
44,0,1,2,3,IN,,
45,0,1,2,3,LE,LP,
46,0,1,2,3,GI,,
47,0,1,2,3,AG,OD,
48,0,1,2,3,GI,,
49,0,1,2,3,,,
50,0,1,2,3,HY,AH,
51,0,1,2,3,AG,OD,
52,0,1,2,3,LE,LP,
53,0,1,2,3,,,
54,0,1,2,3,CD,,
55,0,0,0,1,PI,,
56,0,1,2,3,OD,,
57,0,1,2,3,AN,,
58,0,1,2,3,,,
59,0,1,2,3,AG,OD,
60,0,1,2,3,IN,AN,
61,0,1,2,3,CD,,
62,0,1,2,3,AG,OD,
63,0,1,2,3,LE,LP,
64,0,1,2,3,OD,,
65,0,1,2,3,LE,LP,
66,3,2,1,0,LE,EF,
67,0,1,2,3,,,
68,0,1,2,3,AG,,
69,0,1,2,3,AN,,
70,0,1,2,3,AG,,
71,0,1,2,3,AG,OD,
72,0,1,2,3,LE,LP,
73,0,1,2,3,AN,,
74,3,2,1,0,PR,,
75,0,1,2,3,GI,,
76,0,1,2,3,HY,AH,
77,0,1,2,3,HY,GI,
78,0,1,2,3,HY,AH,
79,0,1,2,3,,,
80,0,1,2,3,PR,,
81,1,1,0,0,NI,,
82,0,1,2,3,,,
83,0,1,2,3,HY,,
84,0,1,2,3,GI,,
85,0,1,2,3,AG,,
86,0,1,2,3,IN,,
87,0,1,2,3,,,
88,0,1,2,3,AN,,
89,0,1,2,3,PR,,
90,0,1,2,3,CD,,
91,0,1,2,3,HY,,
92,0,1,2,3,AN,,
93,0,0,1,1,NI,,
94,0,1,2,3,LE,,
95,0,1,2,3,,,
96,0,1,2,3,AG,,
97,0,1,2,3,IN,,
98,0,1,2,3,AG,CD,
99,0,1,2,3,LE,,
100,0,1,2,3,IN,GI,
101,0,0,1,1,NI,,
102,0,1,2,3,AG,,
103,0,1,2,3,AN,,
104,0,1,2,3,PR,,
105,0,1,2,3,AG,CD,
106,0,1,2,3,LE,EF,
107,1,1,0,0,NI,,
108,0,1,2,3,IN,,
109,0,0,0,1,PI,,
110,0,0,1,1,NI,,
111,0,1,2,3,IN,AN,
112,0,1,2,3,,,
113,0,1,2,3,,,
