,8,9,10,11
90,31,35,33,27
89,30,,32,26
88,29,34,,
87,,33,31,25
86,28,32,30,
85,,,,24
84,27,31,29,23
83,26,30,28,
82,,29,27,22
81,25,,,
80,24,28,26,21
79,,27,25,
78,23,26,,20
77,22,,24,19
76,,25,23,
75,21,24,,18
74,,23,22,
73,20,,21,17
72,19,22,,
71,,21,20,16
70,18,20,19,
69,17,19,18,15
68,,,,14
67,16,18,17,
66,,17,16,13
65,15,16,,
64,14,,15,12
63,,15,14,
62,13,14,,11
61,12,13,13,
60,,,12,10
59,11,12,,9
58,10,11,11,
57,,10,10,8
56,9,,9,
55,,9,,7
54,8,8,8,
53,7,7,7,6
52,,,,
51,6,6,6,5
50,5,5,5,4
49,,4,,
48,4,,4,3
47,3,3,3,
46,,2,,2
45,2,1,2,
44,,,1,1
43,1,0,0,
42,0,,,0
41,,,,
40,,,,
