,8,9,10,11
90,,26,24,20
89,,25,,
88,30,24,23,19
87,,,,
86,29,23,22,
85,,,,18
84,28,22,21,
83,,,,17
82,26,21,20,
81,,,,
80,25,20,19,16
79,24,,,
78,,19,18,15
77,23,,,
76,22,18,17,
75,,,,14
74,21,17,16,
73,20,,,13
72,,16,15,
71,19,,,
70,18,15,14,12
69,,,,
68,17,14,13,11
67,,13,,
66,16,,,10
65,15,12,12,
64,,,,
63,14,11,11,9
62,13,,,
61,,10,10,8
60,12,,,
59,11,9,9,
58,,,,7
57,10,8,8,
56,9,,,6
55,,7,7,
54,8,,,
53,7,6,6,5
52,,,,
51,6,5,5,4
50,5,,,
49,,4,4,
48,4,,,3
47,3,3,3,
46,,2,,2
45,2,,2,
44,1,1,,1
43,,,1,
42,0,0,,
41,,,0,0
40,,,,
