,8,9,10,11
90,,46,43,38
89,,45,42,37
88,,44,,36
87,48,43,41,
86,47,42,40,35
85,46,41,39,34
84,45,40,38,33
83,44,39,37,
82,43,,36,32
81,42,38,,31
80,41,37,35,30
79,40,36,34,
78,39,35,33,29
77,38,34,32,28
76,37,33,31,27
75,35-36,32,30,
74,34,31,,26
73,33,30,29,25
72,32,29,28,24
71,31,28,27,
70,30,27,26,23
69,29,26,25,22
68,28,25,24,21
67,27,,,20
66,26,24,23,
65,25,23,22,19
64,24,22,21,18
63,23,21,20,17
62,22,20,19,
61,21,19,18,16
60,20,18,,15
59,19,17,17,14
58,18,16,16,
57,17,15,15,13
56,16,14,14,12
55,15,13,13,11
54,13-14,12,12,
53,12,,,10
52,11,11,11,9
51,10,10,10,8
50,9,9,9,
49,8,8,8,7
48,7,7,7,6
47,6,6,,5
46,5,5,6,
45,4,4,5,4
44,3,3,4,3
43,2,2,3,2
42,1,1,2,
41,0,0,1,1
40,,,0,0
