,8,9,10,11
90,46,43,44,46
89,45,42,43,45
88,44,41,42,44
87,43,40,41,43
86,42,39,40,42
85,41,,39,41
84,40,38,38,40
83,39,37,,
82,38,36,37,39
81,,35,36,38
80,37,34,35,37
79,36,33,34,36
78,35,32,33,35
77,34,,32,34
76,33,31,31,33
75,32,30,30,32
74,31,29,,31
73,30,28,29,30
72,29,27,28,
71,28,26,27,29
70,27,25,26,28
69,,,25,27
68,26,24,24,26
67,25,23,23,25
66,24,22,22,24
65,23,21,,23
64,22,20,21,22
63,21,19,20,21
62,20,18,19,20
61,19,,18,
60,18,17,17,19
59,17,16,16,18
58,,15,15,17
57,16,14,14,16
56,15,13,,15
55,14,12,13,14
54,13,11,12,13
53,12,,11,12
52,11,10,10,11
51,10,9,9,
50,9,8,8,10
49,8,7,7,9
48,7,6,6,8
47,,5,,7
46,6,,5,6
45,5,4,4,5
44,4,3,3,4
43,3,2,2,3
42,2,1,1,2
41,1,0,0,1
40,0,,,0
