,8,9,10,11
90,,,,
89,,,,
88,,,,
87,,,,
86,,,,
85,,,,
84,30,,,
83,29,,,
82,,,,
81,28,30,,30
80,27,29,,29
79,,,30,28
78,26,28,29,
77,25,27,28,27
76,,26,,26
75,24,,27,
74,23,25,26,25
73,,24,25,24
72,22,23,,23
71,21,22,24,
70,20,,23,22
69,,21,22,21
68,19,20,21,
67,18,19,,20
66,,,20,19
65,17,18,19,18
64,16,17,18,
63,,16,,17
62,15,,17,16
61,14,15,16,
60,,14,15,15
59,13,13,14,14
58,12,,,
57,,12,13,13
56,11,11,12,12
55,10,10,11,11
54,,9,,
53,9,,10,10
52,8,8,9,9
51,,7,8,
50,7,6,7,8
49,6,,,7
48,,5,6,6
47,5,4,5,
46,4,3,4,5
45,,,,4
44,3,2,3,
43,2,1,2,3
42,,0,1,2
41,1,,0,
40,0,,,1
