,8,9,10,11
90,,,,
89,,,,
88,,,,
87,,,,
86,48,,,
85,47,,,
84,46,,,
83,45,,,
82,44,,,47-48
81,43,48,,46
80,42,46-47,48,45
79,41,45,47,44
78,40,44,46,43
77,39,43,44-45,42
76,38,42,43,41
75,36-37,40-41,42,40
74,35,39,41,39
73,34,38,40,37-38
72,33,37,38-39,36
71,32,36,37,35
70,31,34-35,36,34
69,30,33,35,33
68,29,32,34,32
67,28,31,32-33,31
66,27,30,31,30
65,26,28-29,30,29
64,25,27,29,27-28
63,24,26,28,26
62,23,25,26-27,25
61,22,24,25,24
60,21,22-23,24,23
59,20,21,23,22
58,19,20,22,21
57,18,19,20-21,20
56,17,18,19,19
55,16,17,18,17-18
54,15,15-16,17,16
53,14,14,15-16,15
52,13,13,14,14
51,12,12,13,13
50,11,11,12,12
49,10,9-10,11,11
48,9,8,9-10,10
47,8,7,8,8-9
46,7,6,7,7
45,6,5,6,6
44,5,3-4,5,5
43,4,2,3-4,4
42,3,1,2,3
41,2,0,1,2
40,1,,0,0-1
