,8,9,10,11
90,31,29,23,24
89,,28,22,23
88,30,,,
87,29,27,21,22
86,,,,
85,28,26,20,21
84,,,,
83,27,25,,20
82,26,24,19,
81,,,,
80,25,23,18,19
79,,,,
78,24,22,17,18
77,23,,,
76,,21,16,17
75,22,20,,
74,,,,16
73,21,19,15,
72,20,,,15
71,,18,14,
70,19,,,14
69,,17,13,
68,18,16,,13
67,17,,12,
66,,15,,12
65,16,,,
64,,14,11,11
63,15,,,
62,14,13,10,10
61,,,,
60,13,12,9,9
59,,11,,
58,12,,8,8
57,11,10,,
56,,,,
55,10,9,7,7
54,9,,,
53,,8,6,6
52,8,7,,
51,,,5,5
50,7,6,,
49,6,,4,4
48,,5,,
47,5,,3,3
46,,4,,
45,4,3,,2
44,3,,2,
43,,2,,1
42,2,,1,
41,,1,,0
40,1,0,0,
