question number,response 1,response 2,response 3,response 4,attribute1,attribute2,attribute3
1,1,1,0,0,NI,,
2,0,1,2,3,AN,,
3,0,1,2,3,AH,,
4,0,1,2,3,,,
5,0,1,2,3,LP,,
6,0,1,2,3,CD,,
7,0,1,2,3,LP,,
8,0,1,2,3,NI,,
9,3,2,1,0,LP,,
10,0,1,2,3,PR,,
11,0,1,2,3,CD,,
12,0,1,2,3,IN,,
13,0,1,2,3,PR,,
14,0,1,2,3,OD,,
15,0,1,2,3,LP,,
16,0,1,2,3,CD,AG,
17,0,1,2,3,,,
18,0,0,1,1,NI,,
19,0,1,2,3,GI,HY,
20,0,1,2,3,,,
21,0,1,2,3,OD,,
22,0,1,2,3,AG,,
23,0,1,2,3,IN,,
24,0,1,2,3,PR,,
25,0,1,2,3,GI,,
26,0,0,1,1,NI,,
27,0,1,2,3,CD,AG,
28,0,1,2,3,AN,IN,
29,0,1,2,3,GI,,
30,0,1,2,3,AG,CD,
31,1,0,0,0,PI,,
32,0,0,1,1,NI,,
33,0,0,0,1,PI,,
34,0,1,2,3,GI,EF,
35,0,1,2,3,AN,,
36,0,1,2,3,LP,,
37,0,1,2,3,EF,,
38,1,0,0,0,PI,,
39,0,1,2,3,CD,AG,
40,0,1,2,3,GI,,
41,0,1,2,3,CD,,
42,0,0,1,1,NI,,
43,0,1,2,3,HY,AN,
44,0,1,2,3,IN,,
45,0,1,2,3,HY,AH,
46,0,1,2,3,AG,,
47,0,1,2,3,IN,AN,
48,0,1,2,3,AG,OD,
49,0,1,2,3,IN,,
50,0,1,2,3,HY,GI,
51,0,1,2,3,LP,,
52,0,1,2,3,HY,,
53,0,1,2,3,LP,,
54,0,1,2,3,HY,AH,
55,0,1,2,3,HY,,
56,0,1,2,3,CD,,
57,0,1,2,3,AG,OD,
58,0,1,2,3,AG,CD,
59,0,1,2,3,OD,,
60,0,1,2,3,LP,,
61,0,1,2,3,HY,AN,
62,0,1,2,3,PR,,
63,0,1,2,3,EF,,
64,3,2,1,0,PR,,
65,0,1,2,3,AG,CD,
66,0,1,2,3,,,
67,0,1,2,3,IN,GI,
68,0,1,2,3,AN,,
69,0,1,2,3,HY,AH,
70,0,1,2,3,,,
71,0,1,2,3,HY,AH,
72,3,2,1,0,EF,,
73,0,1,2,3,OD,,
74,0,0,0,1,PI,,
75,0,1,2,3,EF,,
76,0,1,2,3,CD,,
77,0,1,2,3,IN,,
78,0,1,2,3,CD,,
79,0,1,2,3,EF,AN,
80,0,0,0,1,PI,,
81,0,1,2,3,GI,,
82,0,1,2,3,,,
83,0,1,2,3,AG,,
84,0,1,2,3,EF,AN,
85,0,1,2,3,GI,,
86,0,1,2,3,AG,,
87,0,1,2,3,LP,,
88,0,1,2,3,IN,,
89,0,1,2,3,CD,,
90,0,1,2,3,EF,,
91,0,1,2,3,CD,,
92,0,1,2,3,PR,,
93,0,1,2,3,HY,AH,
94,0,1,2,3,AG,OD,
95,0,1,2,3,IN,AN,
96,0,1,2,3,CD,,
97,0,1,2,3,EF,AN,
98,0,1,2,3,HY,AH,
99,0,1,2,3,HY,GI,AH
100,0,1,2,3,,,
101,0,1,2,3,AN,,
102,0,1,2,3,AG,OD,
103,0,1,2,3,,,
104,0,1,2,3,HY,AH,
105,0,0,0,1,PI,,
106,0,1,2,3,,,
107,0,1,2,3,,,
108,0,1,2,3,,,
